City_ID,City,Country,Lat,Long,Max Temp,Humidity,Clouds,Wind,Current Descrption
167,Cherskiy,RU,68.75,161.3,-17.21,98,35,2.39,scattered clouds
168,Mehrān,IR,33.1222,46.1646,76.62,20,88,6.67,overcast clouds
169,Havre-St-Pierre,CA,50.2334,-63.5986,33.96,74,98,9.48,overcast clouds
170,Springdale,US,36.1867,-94.1288,74.93,58,0,20.71,clear sky
171,Hermosillo,MX,29.0667,-110.9667,90.21,27,0,8.99,clear sky
172,Deputatsky,RU,69.3,139.9,-17.86,100,100,1.79,overcast clouds
173,Cairns,AU,-16.9167,145.7667,73.35,88,100,0.0,overcast clouds
174,Umm Kaddadah,SD,13.6017,26.6876,88.07,13,0,12.41,clear sky
175,Hofn,IS,64.2539,-15.2082,30.45,56,31,21.18,scattered clouds
176,Oddur,SO,4.1213,43.8894,78.66,54,1,16.35,clear sky
177,Nago,JP,26.5881,127.9761,65.25,60,87,4.79,overcast clouds
178,Nikolskoye,RU,59.7035,30.7861,30.78,85,84,12.1,broken clouds
179,Vestmanna,FO,62.1564,-7.1664,31.12,64,75,12.66,broken clouds
180,Mar del Plata,AR,-38.0023,-57.5575,76.87,42,0,16.11,clear sky
181,Dzhebariki-Khaya,RU,62.2167,135.8,-7.94,100,90,1.79,overcast clouds
182,Araripe,BR,-7.2125,-40.0461,76.57,59,100,5.37,overcast clouds
183,Margate,GB,51.3813,1.3862,53.87,71,18,1.01,few clouds
184,Riyadh,SA,24.6877,46.7219,80.74,9,0,9.44,clear sky
185,Airai,TL,-8.9266,125.4092,58.03,90,34,1.79,scattered clouds
186,Mingguang,CN,32.7802,117.9638,57.24,62,0,4.0,clear sky
187,Bethel,US,41.3712,-73.414,59.85,45,75,9.22,broken clouds
188,Malindi,KE,-3.2175,40.1191,82.29,75,0,11.56,clear sky
189,Barra do Garças,BR,-15.89,-52.2567,86.68,59,0,2.75,clear sky
190,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,8.05,overcast clouds
191,Grande Prairie,CA,55.1667,-118.8027,46.15,41,100,10.56,overcast clouds
192,Xining,CN,36.6167,101.7667,44.11,39,55,2.26,broken clouds
193,Iseyin,NG,7.9667,3.6,82.42,66,94,9.66,light rain
194,Poum,NC,-20.2333,164.0167,77.43,94,100,49.06,very heavy rain
195,Ossora,RU,59.2353,163.0719,11.35,94,67,5.82,broken clouds
196,Asău,RO,46.4333,26.4,45.28,69,100,5.68,overcast clouds
197,Souillac,MU,-20.5167,57.5167,77.38,94,75,3.44,light rain
198,Nova Soure,BR,-11.2333,-38.4833,89.04,39,5,15.79,clear sky
199,Mwinilunga,ZM,-11.7358,24.4293,62.56,92,45,1.97,scattered clouds
200,Belmonte,BR,-15.8631,-38.8828,80.87,72,7,6.58,clear sky
201,Constitución,CL,-35.3333,-72.4167,64.9,62,9,12.88,clear sky
202,Mykolayivka,UA,47.5414,30.7561,48.09,52,100,7.45,overcast clouds
203,Severo-Yeniseyskiy,RU,60.3725,93.0408,29.79,98,100,4.65,overcast clouds
204,Oodweyne,SO,9.4092,45.064,76.35,23,7,10.11,clear sky
205,Longyearbyen,SJ,78.2186,15.6401,10.24,61,0,13.8,clear sky
206,Meulaboh,ID,4.1363,96.1285,76.82,87,93,3.74,overcast clouds
207,Beringovskiy,RU,63.05,179.3167,-5.98,87,18,5.55,few clouds
208,Perelyub,RU,51.8667,50.3667,33.67,76,8,8.12,clear sky
209,Verkhnyaya Toyma,RU,62.2349,44.9985,26.71,94,95,8.03,overcast clouds
210,Sechura,PE,-5.5569,-80.8222,83.17,56,24,14.92,few clouds
211,Leningradskiy,RU,69.3833,178.4167,-6.48,85,9,13.69,clear sky
212,Lorengau,PG,-2.0226,147.2712,81.1,83,100,15.82,very heavy rain
213,Norman Wells,CA,65.282,-126.8329,13.33,83,48,1.34,scattered clouds
214,Vestmannaeyjar,IS,63.4427,-20.2734,31.82,48,100,17.27,overcast clouds
215,Kuytun,RU,54.3419,101.5036,26.92,98,100,2.59,overcast clouds
216,Chumikan,RU,54.7183,135.315,24.49,97,100,5.59,snow
217,Belém de São Francisco,BR,-8.7539,-38.9658,93.47,28,12,11.32,few clouds
218,Jardim,BR,-21.4803,-56.1381,82.96,65,70,6.44,broken clouds
219,Ati,TD,13.2154,18.3353,91.6,11,19,6.58,few clouds
220,Ilulissat,GL,69.2167,-51.1,28.42,86,75,4.61,broken clouds
221,Vallenar,CL,-28.5708,-70.7581,85.46,17,0,7.67,clear sky
222,Semey,KZ,50.4111,80.2275,48.0,65,1,8.77,clear sky
223,Dunedin,NZ,-45.8742,170.5036,54.81,76,100,10.0,overcast clouds
224,Kapoeta,SS,4.7717,33.5903,86.94,32,10,7.23,clear sky
225,Saskylakh,RU,71.9167,114.0833,-26.28,100,66,2.57,broken clouds
226,Mahébourg,MU,-20.4081,57.7,78.26,94,75,3.44,broken clouds
227,Lormont,FR,44.875,-0.5178,51.71,77,100,6.91,overcast clouds
228,Portland,US,45.5234,-122.6762,55.69,58,40,10.36,scattered clouds
229,Sitka,US,57.0531,-135.33,39.09,81,75,0.0,broken clouds
230,Joshīmath,IN,30.5667,79.5667,54.07,31,0,9.19,clear sky
231,Dryden,CA,49.7833,-92.7503,34.09,86,100,11.5,overcast clouds
232,Ponta do Sol,PT,32.6667,-17.1,60.71,64,45,7.43,scattered clouds
233,Klamath Falls,US,42.2249,-121.7817,45.86,44,40,9.22,scattered clouds
234,Tak,TH,16.5833,98.8333,69.48,70,89,1.9,overcast clouds
235,Ginda,IN,30.6945,78.4932,56.89,24,0,8.1,clear sky
236,Lüderitz,NA,-26.6481,15.1594,61.61,79,0,12.75,clear sky
237,Ostrovnoy,RU,68.0531,39.5131,25.79,87,100,14.12,overcast clouds
238,Paamiut,GL,61.994,-49.6678,32.49,86,100,2.06,overcast clouds
239,Puerto Escondido,MX,15.85,-97.0667,85.03,74,20,13.8,few clouds
240,Jieshi,CN,22.8134,115.8257,68.95,72,60,7.07,broken clouds
241,Nemuro,JP,43.3236,145.575,38.21,93,66,16.93,broken clouds
242,Kungurtug,RU,50.5994,97.5228,26.55,94,100,1.97,overcast clouds
243,Cam Ranh,VN,11.9214,109.1591,76.96,78,40,13.8,scattered clouds
244,Turbat,PK,26.0023,63.044,82.89,27,47,4.76,scattered clouds
245,Ebetsu,JP,43.1081,141.5506,41.68,84,14,10.83,few clouds
246,Halifax,CA,44.6453,-63.5724,50.68,37,48,17.0,scattered clouds
247,Kawalu,ID,-7.3817,108.2082,71.29,96,100,1.43,overcast clouds
248,Middelburg,ZA,-25.7751,29.4648,62.13,57,0,4.68,clear sky
249,Bathsheba,BB,13.2167,-59.5167,83.01,61,20,8.05,few clouds
250,Scarborough,GB,54.2797,-0.4044,49.57,83,100,10.0,light rain
251,Banfora,BF,10.6333,-4.7667,92.03,35,93,1.97,overcast clouds
252,Kruisfontein,ZA,-34.0033,24.7314,61.88,71,7,16.84,clear sky
253,Vikhorevka,RU,56.1201,101.1636,29.79,99,100,2.93,overcast clouds
254,Chiang Rai,TH,19.9167,99.9167,81.3,90,59,0.47,broken clouds
255,Panguna,PG,-6.3164,155.4848,69.03,97,100,0.69,overcast clouds
256,Māngrol,IN,21.1167,70.1167,78.49,73,61,9.69,broken clouds
257,Abashiri,JP,44.0213,144.2697,38.1,88,0,12.5,clear sky
258,Bagé,BR,-31.3314,-54.1069,76.78,53,20,9.22,few clouds
259,Khatanga,RU,71.9667,102.5,-11.83,92,8,8.41,clear sky
260,Kemin,KG,42.7846,75.6892,57.18,43,0,7.76,clear sky
261,Inírida,CO,3.8653,-67.9239,78.53,92,100,3.38,moderate rain
262,Inhambane,MZ,-23.865,35.3833,78.1,78,45,10.67,scattered clouds
263,Aquiraz,BR,-3.9014,-38.3911,84.29,79,53,8.79,light rain
264,Aykino,RU,62.2248,49.9922,9.63,97,41,2.91,scattered clouds
265,Ginir,ET,7.1333,40.7,62.98,50,27,4.85,scattered clouds
266,Bairiki Village,KI,1.3292,172.9752,80.46,82,50,17.18,light rain
267,Kishanganj,IN,26.1167,87.9333,77.81,79,33,8.81,scattered clouds
268,Tiksi,RU,71.6872,128.8694,-17.93,100,100,2.26,overcast clouds
269,Lompoc,US,34.6391,-120.4579,86.56,51,0,24.16,clear sky
270,Yatou,CN,37.15,122.3833,45.14,65,0,14.83,clear sky
271,Nur-Sultan,KZ,51.1801,71.446,28.35,100,14,6.71,fog
272,Sibolga,ID,1.7427,98.7792,75.88,88,95,3.42,overcast clouds
273,Chandla,IN,25.0833,80.2,83.86,7,5,3.94,clear sky
274,Mehamn,NO,71.0357,27.8492,30.15,64,75,16.11,broken clouds
275,Avera,US,33.194,-82.5271,67.51,92,100,16.55,heavy intensity rain
276,Wilmington Island,US,32.0036,-80.9737,75.29,66,100,17.27,overcast clouds
277,Salinópolis,BR,-0.6136,-47.3561,77.2,91,98,5.35,heavy intensity rain
278,Cap Malheureux,MU,-19.9842,57.6142,78.48,88,100,1.01,overcast clouds
279,Tuatapere,NZ,-46.1333,167.6833,50.05,79,58,12.97,broken clouds
280,Aswān,EG,24.0934,32.907,87.1,8,0,8.05,clear sky
281,Mandera,KE,3.9366,41.867,91.74,29,46,5.32,scattered clouds
282,Pyapon,MM,16.2833,95.6833,80.13,72,100,6.02,overcast clouds
283,Waingapu,ID,-9.6567,120.2641,76.77,84,99,6.13,overcast clouds
284,Aleksandrov Gay,RU,50.147,48.5704,38.46,73,76,9.31,broken clouds
285,Praia da Vitória,PT,38.7333,-27.0667,62.85,77,20,7.31,few clouds
286,Hare Bay,CA,48.8499,-54.0148,33.4,94,100,14.0,overcast clouds
287,Ozernovskiy,RU,51.5,156.5167,37.09,60,4,5.75,clear sky
288,Prestea,GH,5.4327,-2.1428,79.07,86,90,4.68,overcast clouds
289,Narsaq,GL,60.9167,-46.05,41.22,74,28,3.49,scattered clouds
290,Rexburg,US,43.826,-111.7897,42.31,22,100,11.5,overcast clouds
